Lid,Start_x,Start_y,End_x,End_y
1,22.2,9.9,7,-5
2,7,-5,-26,-21
3,-26,-21,6.7,-169
4,6.7,-169,-154,-209
5,-154,-209,-206,-218
6,-206,-218,-205,-259
7,-205,-259,-220.4,-273
8,-220.4,-273,-266,-289
9,-266,-289,-433,-325
10,-433,-325,-438,-322.6
11,-438,-322.6,-553,-348.3
12,-553,-348.3,-590.6,-204.4
13,-590.6,-204.4,-590.8,-172.8
14,-590.8,-172.8,-597.5,-154
15,-597.5,-154,-524.2,-134.4
16,-524.2,-134.4,-545.5,-31.4
17,-545.5,-31.4,-516.9,-21
18,-516.9,-21,-464.9,-9.3
19,-464.9,-9.3,-339.7,15.2
20,-339.7,15.2,-247,29
21,-247,29,-233.6,3.8
22,-233.6,3.8,-229.6,-0.4
23,-229.6,-0.4,-214,-62.3
24,-214,-62.3,-27.2,-19.4
25,-27.2,-19.4,7.6,-5.1
26,7.6,-5.1,22.9,9.9
27,-20,-64.4,-76.8,-78.6
28,-76.8,-78.6,-93.3,-84.4
29,-93.3,-84.4,-99.6,-88.8
30,-99.6,-88.8,-101,-93.3
31,-101,-93.3,-100.2,-104.4
32,-100.2,-104.4,-98.5,-115.4
33,-98.5,-115.4,-97.7,-131.2
34,-97.7,-131.2,-100.1,-133.1
35,-100.1,-133.1,-103.3,-134
36,-103.3,-134,-164.5,-150.1
37,-164.5,-150.1,-169.8,-134
38,-169.8,-134,-173.1,-126.5
39,-173.1,-126.5,-173.8,-116.6
40,-173.8,-116.6,-186.3,-59.4
41,-186.3,-59.4,-165.2,-160.7
42,-165.2,-160.7,-162.3,-174.8
43,-162.3,-174.8,-154.7,-205.1
44,-154.7,-205.1,-155.83,-206.99
45,-155.83,-206.99,-161,-208.58
46,-161,-208.58,-157.34,-209.61
47,-214,-62.3,-216.9,-63.9
48,-216.9,-63.9,-275.5,-76.3
49,-275.5,-76.3,-303.2,-82
50,-303.2,-82,-316.1,-91.4
51,-316.1,-91.4,-358.9,-95.9
52,-358.9,-95.9,-370.2,-99.4
53,-370.2,-99.4,-452.7,-117.7
54,-452.7,-117.7,-425.8,-223.6
55,-425.8,-223.6,-454.3,-231.4
56,-454.3,-231.4,-462.4,-235.2
57,-462.4,-235.2,-476.9,-240
58,-476.9,-240,-495.2,-246.2
59,-495.2,-246.2,-493.5,-265.8
60,-493.5,-265.8,-497.6,-267.7
61,-497.6,-267.7,-569.3,-284.9
62,-590.4,-204.9,-597.2,-207.2
63,-597.2,-207.2,-664.1,-221.7
64,-664.1,-221.7,-672,-184.5
65,-672,-184.5,-678.5,-151.9
66,-672,-184.5,-595.6,-169.6
67,-595.6,-169.6,-594.8,-165.2
68,-594.8,-165.2,-603.1,-133.3
69,-603.1,-133.3,-677.3,-152.8
70,-677.3,-152.8,-683.7,-125
71,-683.7,-125,-691.1,-89.7
72,-691.1,-89.7,-692.6,-76.4
73,-683.7,-125,-610.3,-106.4
74,-692.6,-76.4,-621,-61
75,-621,-61,-545.5,-31.4
76,-277.43,28.73,-283.2,23.65
77,-283.2,23.65,-297.55,102.43
