Lid,Start_x,Start_y,End_x,End_y,Length_c,Length_t
0,21.89180108,11.6109291,7.510080645,-4.568506384,21.64735584895797,20.205133392511442
1,7.510080645,-4.568506384,-27.5453629,-19.84908434,38.24107980700958,35.69332550199186
2,-27.5453629,-19.84908434,-20.35450269,-63.89310316,44.627167335338186,41.65394957388489
3,-20.35450269,-63.89310316,-14.0625,-87.26339886,24.202479603470497,22.59002587797337
4,-14.0625,-87.26339886,6.611223118,-168.1605763,83.49704273397097,77.93417810893155
5,6.611223118,-168.1605763,-85.97110215,-190.6320144,95.27041766630333,88.92316968127993
6,-85.97110215,-190.6320144,-154.2842742,-207.7103075,70.4156060170074,65.72427239683651
7,-154.2842742,-207.7103075,-207.3168683,-217.5977403,53.94643050610366,50.3523308819327
8,-207.3168683,-217.5977403,-208.2157258,-264.3383317,46.749233461384826,43.6346362426711
9,-208.2157258,-264.3383317,-232.484879,-276.0234795,26.935747180149185,25.141193621948798
10,-232.484879,-276.0234795,-267.5403226,-286.8097698,36.677352472999694,34.23377914475364
11,-267.5403226,-286.8097698,-350.2352151,-308.3823505,85.46239806865101,79.76859460663077
12,-350.2352151,-308.3823505,-432.9301075,-326.359501,84.62637395721994,78.98826934156456
13,-432.9301075,-326.359501,-435.6266801,-321.8652134,5.241194980019768,4.892008264028161
14,-435.6266801,-321.8652134,-474.2775538,-329.9549311,39.48839791937687,36.857542925086044
15,-474.2775538,-329.9549311,-554.2758737,-347.0332241,81.80097357988221,76.35110700591103
16,-554.2758737,-347.0332241,-558.7701613,-335.3480763,12.519636581760599,11.685534664152321
17,-558.7701613,-335.3480763,-564.1633065,-311.9777806,23.984510340086583,22.386578488238175
18,-564.1633065,-311.9777806,-569.5564516,-284.1131972,28.381702241500772,26.490814106687687
19,-569.5564516,-284.1131972,-573.1518817,-272.4280494,12.22578409394795,11.411259655444423
20,-573.1518817,-272.4280494,-581.2415995,-247.2600386,26.43619302608745,24.6749215104712
21,-581.2415995,-247.2600386,-589.3313172,-204.1148774,43.89702116818039,40.97244829463445
22,-589.3313172,-204.1148774,-592.0278898,-171.7560064,32.47103380217072,30.307700115586584
23,-592.0278898,-171.7560064,-597.4210349,-153.7788558,18.768696219096668,17.518260121761145
